Symbol,Price,Rank
BB,0.289031,301
PCI,0.115843,302
KENDU,0.00012049,303
BANANA,34.91,304
POLY,0.130966,305
VANRY,0.083668,306
NTRN,0.348316,307
PZETH,2884.71,308
YGG,0.307722,309
MOCA,0.101916,310
OMI,0.0004163,311
ORCA,2.21,312
KUB,1.28,313
LSK,0.7804958767704044,314
OZO,0.217311,315
APU,0.00034924,316
DEUSD,0.998747,317
WHY,2.65809e-07,318
WUF,1.32e-06,319
USDP,1.0003908153896361,320
CRVUSD,0.998331,321
XAI,0.212543,322
ORBS,0.02565513,323
VVS,2.36e-06,324
KAU,77.29,325
UNIETH,2639.48,326
BAL,1.8289473147734905,327
OKT,6.04,328
SGB,0.0072004,329
TAIKO,1.69,330
BMX,0.314582,331
MOBILE,0.00111714,332
WMT,0.174018,333
BITCOIN,0.10584,334
LCX,0.13314912248291047,335
SURE,0.00391762,336
DGB,0.00608306351686273,337
WEXO,1.96,338
XNO,0.762502,339
WAXP,0.02937889,340
BONE,0.405066,341
NKYC,25.16,342
ONG,0.258731,343
KAG,27.11,344
GUSD,0.998361,345
SUSHI,0.520401,346
BTSE,0.614596,347
CTSI,0.120255,348
SAGA,0.993151,349
JOE,0.272554,350
MPL,12.39,351
EVER,0.04947754,352
POL,0.405945,353
PIXEL,0.125946,354
TRU,0.084158,355
RLC,1.32,356
GHO,0.998492,357
LON,0.834766,358
INST,1.15,359
OETH,2459.21,360
WAVES,0.9311176564138308,361
XVS,5.69,362
BORA,0.084062,363
COQ,1.33e-06,364
SAITAMA,0.0020852,365
SLP,0.00221507,366
C98,0.110247,367
OSETH,2517.9,368
PROM,5.0,369
POND,0.011161958983165422,370
POWR,0.1709,371
ORAI,5.49,372
PUNDIX,0.344177,373
USDX,0.794083,374
IOST,0.00470541,375
AUCTION,13.52,376
ACH,0.01771009,377
IQ,0.00465837,378
FX,0.116181,379
MVL,0.00340968,380
HASHAI,0.0009542,381
GPU,0.877543,382
WOLF,0.00842838,383
$MICHI,0.152089,384
RETARDIO,0.085076,385
NMR,11.542191343460004,386
DUSK,0.181402,387
CEL,0.1965602531573172,388
SUN,0.00850152,389
DAO,0.332116,390
MAGIC,0.312053,391
GNS,2.45,392
ANDY,8.197e-05,393
SDEX,0.00956353,394
PEIPEI,1.93012e-07,395
MYRO,0.08122001,396
BAKE,0.280378,397
NMT,2.11,398
EWT,1.54,399
MLK,0.212822,400
USTC,0.01423696,401
NYM,0.099773,402
ECOIN,0.0001712,403
DOP,0.00986592,404
VRSC,1.13,405
BZR,6.69,406
SFUND,1.24,407
SLERF,0.156158,408
SCF,0.077544,409
ZENT,0.01338711,410
ZKJ,1.28,411
LISTA,0.335331,412
ALICE,0.8392334682947645,413
GEAR,0.00760265,414
WIN,7.617369122383981e-05,415
SLG,0.153734,416
CHEX,0.075574,417
LUSD,0.996445,418
QUIL,0.20909,419
HIVE,0.169126,420
OMNI,7.17,421
DKA,0.01756587,422
DAR,0.121124,423
DESO,7.03,424
ALEX,0.093029,425
LADYS,8.2654e-08,426
SNT,0.01857144,427
TOKEN,0.04495733,428
ACE,2.13,429
BOBA,0.18984,430
STPT,0.03715719,431
CXT,0.085763,432
UMI,2.53118484189535,433
PHA,0.09604666775563947,434
MERL,0.196624,435
ANYONE,0.939146,436
STRD,0.775253,437
STEEM,0.149712,438
KNC,0.412439,439
CTK,0.514148,440
DAG,0.02271525,441
SYN,0.318752,442
EUL,3.76,443
ELON,1.2677e-07,444
BUSD,1.002,445
SPELL,0.00046717,446
REQ,0.090036,447
RDNT,0.064477,448
MOVR,7.5,450
BIGTIME,0.066628,450
DENT,0.0007150276164986227,451
RIF,0.06824887886327406,452
PRO,1.17,453
WILD,0.244439,454
YES,3.17,455
SPEC,5.54,456
MED,0.00734438,457
XYO,0.00475443,458
USD+,0.998983,459
VELO,0.00887571,460
RSS3,0.097321,461
MCOIN,0.36896,462
DODO,0.09850117467192893,463
CGPT,0.119438,464
CVC,0.07989780049006501,465
GODS,0.204758,466
CYBER,2.74,467
HOOK,0.355381,468
AITECH,0.089298,469
CATDOG,0.00063394,470
DOG,0.00420986,471
STMX,0.005692495350649585,472
STC,0.00144968,473
MATICX,0.45391,474
$WEN,8.293e-05,475
AURORA,0.121865,476
XPLA,0.095928,477
TLOS,0.142917,478
CUDOS,0.00820637,479
TRIAS,5.96,480
HFT,0.135015,481
USDC.E,0.99864,482
STG,0.289819,483
PYR,2.46,484
LQTY,0.606909,485
DORA,0.058338,486
LMWR,0.20071,487
STORJ,0.40352035968871924,488
OCTA,1.79,489
MBX,0.428184,490
CACAO,0.575963,491
LOOM,0.04679084,492
ARDR,0.056908,493
SNEK,0.00076909,494
CELR,0.01003376,495
HT,0.3559671483082668,496
CROWN,0.297844,497
WRX,0.123615,498
BNT,0.4485344819479216,499
BLZ,0.129677,500
